time	V(vo)
4.179070230994567e-03	1.126192e+01
4.179552947576971e-03	1.127122e+01
4.180203193331277e-03	1.128349e+01
4.180590601129892e-03	1.129067e+01
4.180687453079546e-03	1.129244e+01
4.180881156978854e-03	1.129594e+01
4.181066297592434e-03	1.129926e+01
4.181261879518166e-03	1.130274e+01
4.181301713500112e-03	1.130344e+01
4.181317727410712e-03	1.130373e+01
4.181319228714831e-03	1.130375e+01
4.181319478932184e-03	1.130376e+01
4.181319979366891e-03	1.130376e+01
4.181320300527878e-03	1.130377e+01
4.181320431129337e-03	1.130377e+01
4.181320547090665e-03	1.130377e+01
4.181320669001494e-03	1.130378e+01
4.181320787602108e-03	1.130378e+01
4.181321024803337e-03	1.130378e+01
4.181321499205795e-03	1.130379e+01
4.181322006201601e-03	1.130380e+01
4.181323020193215e-03	1.130382e+01
4.181325048176442e-03	1.130385e+01
4.181328170813898e-03	1.130391e+01
4.181332183761663e-03	1.130398e+01
4.181337576452484e-03	1.130408e+01
4.181344309447266e-03	1.130419e+01
4.181353703542911e-03	1.130436e+01
4.181363849892406e-03	1.130454e+01
4.181380210238591e-03	1.130483e+01
4.181400201160015e-03	1.130518e+01
4.181411706547319e-03	1.130538e+01
4.181417413450668e-03	1.130548e+01
4.181420817241169e-03	1.130554e+01
4.181424099037215e-03	1.130560e+01
4.181427705941619e-03	1.130566e+01
4.181431406075200e-03	1.130573e+01
4.181438806342360e-03	1.130585e+01
4.181451274399101e-03	1.130607e+01
4.181472074962793e-03	1.130644e+01
4.181494809928419e-03	1.130684e+01
4.181519894872287e-03	1.130727e+01
4.181552055528269e-03	1.130784e+01
4.181600547696640e-03	1.130868e+01
4.181679668089105e-03	1.131005e+01
4.181831062816443e-03	1.131266e+01
4.182133852271121e-03	1.131782e+01
4.182474134906646e-03	1.132353e+01
4.182917269325585e-03	1.133082e+01
4.183409511746497e-03	1.133877e+01
4.183496062067936e-03	1.134015e+01
4.183669162710814e-03	1.134286e+01
4.184114403864491e-03	1.134976e+01
4.184246457021717e-03	1.135177e+01
4.184465140799945e-03	1.135507e+01
4.184626475610485e-03	1.135748e+01
4.184794791735795e-03	1.135997e+01
4.184958747751020e-03	1.136237e+01
4.185033486167922e-03	1.136346e+01
4.185087624115927e-03	1.136425e+01
4.185087889899743e-03	1.136425e+01
4.185088421467375e-03	1.136426e+01
4.185088609692384e-03	1.136426e+01
4.185088818019003e-03	1.136426e+01
4.185088939969092e-03	1.136427e+01
4.185089096302289e-03	1.136427e+01
4.185089408968682e-03	1.136427e+01
4.185089835984135e-03	1.136428e+01
4.185090690015041e-03	1.136429e+01
4.185091871980980e-03	1.136431e+01
4.185094235912858e-03	1.136434e+01
4.185098963776615e-03	1.136441e+01
4.185103889467707e-03	1.136448e+01
4.185110162019188e-03	1.136457e+01
4.185117664088883e-03	1.136468e+01
4.185132668228274e-03	1.136490e+01
4.185147152229522e-03	1.136511e+01
4.185172723266811e-03	1.136548e+01
4.185176435163633e-03	1.136553e+01
4.185183858957277e-03	1.136564e+01
4.185185714905689e-03	1.136566e+01
4.185189426802511e-03	1.136572e+01
4.185189441047952e-03	1.136572e+01
4.185189469538836e-03	1.136572e+01
4.185189476661556e-03	1.136572e+01
4.185189490906998e-03	1.136572e+01
4.185189519397881e-03	1.136572e+01
4.185189576379648e-03	1.136572e+01
4.185189690343182e-03	1.136572e+01
4.185189918270250e-03	1.136572e+01
4.185190374124385e-03	1.136573e+01
4.185191285832657e-03	1.136574e+01
4.185193109249198e-03	1.136577e+01
4.185196756082283e-03	1.136582e+01
4.185202446608289e-03	1.136590e+01
4.185209372248381e-03	1.136600e+01
4.185218076256240e-03	1.136613e+01
4.185235249601917e-03	1.136637e+01
4.185256225886945e-03	1.136668e+01
4.185279636785669e-03	1.136701e+01
4.185308308381226e-03	1.136742e+01
4.185349044790614e-03	1.136800e+01
4.185412284056550e-03	1.136890e+01
4.185525019027900e-03	1.137049e+01
4.185750488970599e-03	1.137364e+01
4.186090626913304e-03	1.137831e+01
4.186469489606635e-03	1.138341e+01
4.186944057433801e-03	1.138961e+01
4.187516368832001e-03	1.139683e+01
4.188314556710015e-03	1.140658e+01
4.188325767412814e-03	1.140672e+01
4.188348188818410e-03	1.140698e+01
4.188393031629604e-03	1.140750e+01
4.188482717251992e-03	1.140855e+01
4.188625662621919e-03	1.141020e+01
4.188711268670279e-03	1.141119e+01
4.188730941365471e-03	1.141141e+01
4.188750614060663e-03	1.141164e+01
4.188770286755855e-03	1.141186e+01
4.188789959451046e-03	1.141208e+01
4.188809632146238e-03	1.141231e+01
4.188829304841431e-03	1.141253e+01
4.188848977536622e-03	1.141275e+01
4.188851205992488e-03	1.141278e+01
4.188852320220421e-03	1.141279e+01
4.188852765911594e-03	1.141280e+01
4.188853082635636e-03	1.141280e+01
4.188853335094275e-03	1.141280e+01
4.188853457211929e-03	1.141280e+01
4.188853535590484e-03	1.141281e+01
4.188853608956024e-03	1.141281e+01
4.188853697658592e-03	1.141281e+01
4.188853805437220e-03	1.141281e+01
4.188854020994476e-03	1.141281e+01
4.188854452108988e-03	1.141282e+01
4.188855314338012e-03	1.141283e+01
4.188857038796061e-03	1.141285e+01
4.188860487712159e-03	1.141288e+01
4.188864663144642e-03	1.141293e+01
4.188869813676201e-03	1.141299e+01
4.188875174949744e-03	1.141305e+01
4.188883603856344e-03	1.141315e+01
4.188894437491459e-03	1.141327e+01
4.188909056117959e-03	1.141343e+01
4.188938293370960e-03	1.141376e+01
4.188949095522065e-03	1.141388e+01
4.188955651515682e-03	1.141396e+01
4.188961949253303e-03	1.141403e+01
4.188967498005793e-03	1.141409e+01
4.188973154464712e-03	1.141415e+01
4.188982587081196e-03	1.141426e+01
4.188996261083265e-03	1.141441e+01
4.189017388162166e-03	1.141465e+01
4.189039916479862e-03	1.141490e+01
4.189070322366819e-03	1.141524e+01
4.189106922877477e-03	1.141565e+01
4.189170112938895e-03	1.141635e+01
4.189266719546576e-03	1.141741e+01
4.189459932761936e-03	1.141950e+01
4.189821055820326e-03	1.142334e+01
4.190173887015356e-03	1.142699e+01
4.190668035183514e-03	1.143192e+01
4.191195767585630e-03	1.143701e+01
4.191297350295514e-03	1.143797e+01
4.191500515715283e-03	1.143984e+01
4.191652889780110e-03	1.144121e+01
4.191856055199878e-03	1.144302e+01
4.192025959201695e-03	1.144450e+01
4.192171805598120e-03	1.144576e+01
4.192344072318239e-03	1.144722e+01
4.192504989675690e-03	1.144857e+01
4.192578106855310e-03	1.144917e+01
4.192626524205737e-03	1.144957e+01
4.192641070978317e-03	1.144969e+01
4.192650130566033e-03	1.144976e+01
4.192656026327317e-03	1.144981e+01
4.192662442034666e-03	1.144986e+01
4.192668898324057e-03	1.144991e+01
4.192679298373278e-03	1.145000e+01
4.192691512748293e-03	1.145010e+01
4.192708079007642e-03	1.145023e+01
4.192710799087449e-03	1.145026e+01
4.192716239247061e-03	1.145030e+01
4.192718619316892e-03	1.145032e+01
4.192718789321879e-03	1.145032e+01
4.192719214334349e-03	1.145032e+01
4.192719384339337e-03	1.145033e+01
4.192719724349312e-03	1.145033e+01
4.192719728346005e-03	1.145033e+01
4.192719736339392e-03	1.145033e+01
4.192719752326163e-03	1.145033e+01
4.192719784299707e-03	1.145033e+01
4.192719848246795e-03	1.145033e+01
4.192719976140971e-03	1.145033e+01
4.192720231929323e-03	1.145033e+01
4.192720743506027e-03	1.145034e+01
4.192721766659436e-03	1.145034e+01
4.192723812966251e-03	1.145036e+01
4.192727905579883e-03	1.145039e+01
4.192733603513239e-03	1.145044e+01
4.192740757753730e-03	1.145050e+01
4.192749857493609e-03	1.145057e+01
4.192768056973367e-03	1.145072e+01
4.192788431187158e-03	1.145088e+01
4.192813143180867e-03	1.145108e+01
4.192841928621498e-03	1.145131e+01
4.192885831695481e-03	1.145166e+01
4.192950640311825e-03	1.145217e+01
4.193076306130145e-03	1.145315e+01
4.193327637766786e-03	1.145508e+01
4.193663058503235e-03	1.145757e+01
4.194061781012709e-03	1.146041e+01
4.194537255153378e-03	1.146361e+01
4.195145086611012e-03	1.146746e+01
4.195663213081990e-03	1.147055e+01
4.195792744699734e-03	1.147128e+01
4.195977824876663e-03	1.147229e+01
4.196199994009984e-03	1.147347e+01
4.196329077195074e-03	1.147414e+01
4.196389957297428e-03	1.147445e+01
4.196395715310282e-03	1.147448e+01
4.196397154813496e-03	1.147449e+01
4.196398602079257e-03	1.147449e+01
4.196398724810283e-03	1.147449e+01
4.196398970272333e-03	1.147450e+01
4.196399461196435e-03	1.147450e+01
4.196399464948216e-03	1.147450e+01
4.196399472451778e-03	1.147450e+01
4.196399487458901e-03	1.147450e+01
4.196399517473148e-03	1.147450e+01
